410108590	20150218000000	20150218230000	1	surenio.com.ar	http://www.surenio.com.ar/index.php?s=!notas2009$$$W048tzuh3tqvglcwxci6f0&referer=wMidTd30XwqrNzf+WvsoqVgTUeIm5JWS9JOfPgJOiXO3O19xETJybw8aZ9He2Wc57Hi71qlTwlJ2P8fPMeghj6xP8pS1SP1sxlhdYkhd%5E_946	4	1355	-1	1440	1	100	1653	-0.76045627376425	srclc:spa;eng:GT-SPA 1.0	
410414618	20150218230000	20150218230000	1	novinky.cz	http://www.novinky.cz/krimi/361969-majitele-garaze-casto-netusi-ze-ji-pronajali-zlodejum-aut.html	3	-1	1330	1376	0	40	3254	-5.57692307692308	srclc:ces;eng:GT-CES 1.0	
410414619	20150218230000	20150218230000	1	novinky.cz	http://www.novinky.cz/krimi/361969-majitele-garaze-casto-netusi-ze-ji-pronajali-zlodejum-aut.html	3	-1	1330	1376	1	60	3254	-5.57692307692308	srclc:ces;eng:GT-CES 1.0	
410353873	20150218181500	20150218230000	1	bt.no	http://www.bt.no/nyheter/lokalt/--Sokte-pa-drapsoppskrift-for-ektemannens-dod-3305364.html	5	-1	445	433	1	100	3254	-6.49606299212599	srclc:nor;eng:GT-NOR 1.0	
410414620	20150218230000	20150218230000	1	novinky.cz	http://www.novinky.cz/krimi/361969-majitele-garaze-casto-netusi-ze-ji-pronajali-zlodejum-aut.html	4	1518	-1	1528	1	40	3254	-5.57692307692308	srclc:ces;eng:GT-CES 1.0	
410414621	20150218230000	20150218230000	1	novinky.cz	http://www.novinky.cz/krimi/361969-majitele-garaze-casto-netusi-ze-ji-pronajali-zlodejum-aut.html	4	1518	1592	1528	0	60	3254	-5.57692307692308	srclc:ces;eng:GT-CES 1.0	
410414622	20150218230000	20150218230000	1	novinky.cz	http://www.novinky.cz/krimi/361969-majitele-garaze-casto-netusi-ze-ji-pronajali-zlodejum-aut.html	3	1330	-1	1376	1	100	3254	-5.57692307692308	srclc:ces;eng:GT-CES 1.0	
410285783	20150218134500	20150218230000	1	static1.omroepzeeland.nl	http://static1.omroepzeeland.nl/nieuws/2015-02-18/815747/voorraad-voedselbanken-van-inzamelingsactie-bijna-op	1	185	-1	215	1	100	646	0.980392156862745	srclc:nld;eng:GT-NLD 1.0	
410414623	20150218230000	20150218230000	1	pagina12.com.ar	http://www.pagina12.com.ar/diario/ultimas/20-266407-2015-02-18.html	11	2021	-1	1985	1	100	2465	-0.75187969924812	srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0	
410414624	20150218230000	20150218230000	1	pagina12.com.ar	http://www.pagina12.com.ar/diario/ultimas/20-266407-2015-02-18.html	11	2021	-1	2040	1	100	2465	-0.75187969924812	srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0	
410379122	20150218200000	20150218230000	1	at5.nl	http://www.at5.nl/artikelen/140483/OM%20eist%20acht%20jaar%20cel%20voor%20schietpartij%20om%20wiet%20in%20Oost	3	211	-1	248	1	100	1415	-6.63716814159292	srclc:nld;eng:GT-NLD 1.0	
410302302	20150218150000	20150218230000	1	bt.no	http://www.bt.no/nyheter/lokalt/--Sokte-pa-drapsoppskrift-for-ektemannens-dod-3305364.html	5	445	-1	433	1	100	3254	-6.49606299212599	srclc:nor;eng:GT-NOR 1.0	
410414625	20150218230000	20150218230000	1	saartehaal.ee	http://www.saartehaal.ee/2015/02/19/jamaja-kirik-sai-moodsa-oreli/	12	2731	-1	2738	1	100	3271	2.2140221402214	srclc:est;eng:Moses 2.1.1 / Mark Fishel - University of Tartu et-en / GT-EST 1.0	
410414626	20150218230000	20150218230000	1	jutarnji.hr	http://www.jutarnji.hr/monica-belluci-i-daniel-craig-u-rimu/1297979/	1	23	-1	114	1	100	563	3.1578947368421	srclc:hrv;eng:GT-HRV 1.0	
410108608	20150218000000	20150218230000	1	surenio.com.ar	http://www.surenio.com.ar/index.php?s=!notas2009$$$W048gx1rmwar55w0tz9pma&referer=MqnvJYDxKTgpaGBGwVadiq6D+LjfmSNy4OHtMXFepgzfVcPkH9WOJRZtDYxQ/wQNo/tMIGDvr4JnK5pOFZ1fkWMnHnvbk7IQg52ekTSE%5E_946	1	48	-1	64	1	100	2919	-1.52173913043478	srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0	
409802835	20150217001500	20150218230000	1	surenio.com.ar	http://www.surenio.com.ar/index.php?s=!notas2009$$$W048fbexmoolrwo48cntyz&referer=VuDu3rIVTcXEL/t5lxCwsWde9LnVDmtbteAfI5Y2tXe3YFpTlrPSyMIZ8Tf/NAofxDWPggSWgv4XfeRu5Fsvki8xoXKqL6SkLU2cjNoD%5E_946	2	-1	244	201	1	100	6064	0.47984644913628	srclc:spa;eng:Moses 2.1.1 / MosesCore Europarl es-en / GT-SPA 1.0	
